S_No,Zone_Name,Road_Name,Road_Category,Zone_Type,Simple_Accidents,Fatal_Accidents,Total_Accidents,Fatality_Rate,Severity_Level,Is_Pedestrian_Zone,Is_Two_Wheeler_Zone,Is_Cyclist_Zone,Is_HTV_Zone,Is_Hit_And_Run_Zone,Is_Daytime_Zone,Is_Nighttime_Zone
101,DABRI FLYOVER,PANKHA ROAD,OTHER,FLYOVER,9,2,11,0.182,MEDIUM,0,0,0,0,1,0,0
102,ANAND VIHAR RAILWAY FLYOVER,ROAD NO.56,OTHER,FLYOVER,8,2,10,0.2,MEDIUM,0,0,0,0,0,0,0
103,JANAK PURI EAST,NAJAFGARH ROAD,NAJAFGARH ROAD,METRO STATION,8,2,10,0.2,MEDIUM,0,0,0,0,0,0,0
104,ROUND ABOUT OKHLA ESTATE,ANAND MAI MARG,OTHER,ROUND ABOUT,9,1,10,0.1,LOW,0,0,0,0,0,0,0
105,KALKAJI MANDIR,OUTER RING ROAD,OUTER RING ROAD,INTERSECTION,9,1,10,0.1,LOW,0,0,0,0,1,0,0
106,GOKALPURI,WAZIRABAD ROAD,WAZIRABAD ROAD,HIGHWAY VILLAGE,18,1,18,0.056,LOW,0,1,0,0,0,1,0
107,KHAJOORI KHAS PUSTA ROAD,PUSTA ROAD,PUSTA ROAD,ROAD STRETCH,11,0,11,0.0,LOW,0,0,0,0,0,0,0
108,DHAULA KUAN,RING ROAD,RING ROAD,MULTI-LEVEL INTERSECTION,10,0,10,0.0,LOW,0,0,0,0,0,0,0
109,NEHRU PALACE,OUTER RING ROAD,OUTER RING ROAD,INTERSECTION,10,0,10,0.0,LOW,0,0,0,0,0,0,0
110,OKHLA MANDI,CAPTAIN GAUD MARG,OTHER,INTERSECTION,10,0,10,0.0,LOW,0,0,0,0,0,0,0
